Buyer;BuyerSubSector;Client;ClientSubSector;NDeals;NumberOfNDAPerBuyerInSubSector;NumberOfGosPerBuyerInSubSector;NumberOfGosPerSizeInSubSector;NumberOfNBOperDealsInSubSector;AverageSizePerDealInSubSector;MedianSizePerDealInSubSector;NBOLastDatePerDealInSubSector;DealClosePerClientSector;LastDateCloseDealPerInSubSector;MostRecentContact;IsEqual
3 Tentos;Sementes;Lavrobras;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Celena;Agricultura/Produção;8;0;0;0;0;200;200;;0;;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Sementes e Cereais Bortoluzzi;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Kanada Agricola;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
360 insights;Marketing Services;Incentivale;Meios de Pagamento;1;0;0;0;0;150;150;;0;14/04/2022 00:00;;false
3D Systems;Indústria Pesada. Máquinas e Equipamentos;Plenum;Dental & Medical devices (produção e distribuição);1;1;1;0;0;100;100;;0;03/06/2022 00:00;jagtar.narula@3dsystems.com;false
3G Radar;Asset Management;PHB Solar;Energia;2;0;1;0;0;;;;0;;;false
3G Radar;Asset Management;Automalógica;Serviços de Engenharia e TIC;2;0;0;0;0;120;120;;0;27/04/2022 00:00;;false
3M;Dental & Medical devices (produção e distribuição);Skala;Produtos de Uso Pessoal e Cosméticos;2;0;1;0;0;800;800;;0;15/10/2021 00:00;npeikrishvili@mmm.com;false
3M;Dental & Medical devices (produção e distribuição);Plenum;Dental & Medical devices (produção e distribuição);2;0;0;0;0;100;100;;0;03/06/2022 00:00;npeikrishvili@mmm.com;true
3M do Brasil;;Maian;Industria e distribuição de Químicos & Ingredientes;2;0;0;0;0;;;;0;01/12/2021 00:00;npeikrishvili@mmm.com;false
3M do Brasil;;Crivialli;Produtos de Limpeza;2;0;1;1;0;;;;0;;npeikrishvili@mmm.com;false
3g Capital;Wealth & Capital Markets Tech OLD;Aldo;Distribuição industrial;2;0;1;0;0;;;;1;10/12/2021 00:00;abehring@3g-capital.com;false
3g Capital;Wealth & Capital Markets Tech OLD;Kiko's;Varejo Especializado;2;0;0;0;0;;;;0;25/02/2022 00:00;abehring@3g-capital.com;false
4events;Geração de conteúdo e Publicações;E-Commerce Brasil;Consulting;2;0;0;0;0;40;40;;0;31/03/2022 00:00;;false
4events;Geração de conteúdo e Publicações;Pixit;IT Services;2;0;0;0;0;150;150;;0;11/02/2022 00:00;;false
6connex;Geração de conteúdo e Publicações;Pixit;IT Services;1;0;0;0;0;150;150;;0;11/02/2022 00:00;;false
7 Stars Ventures;;360 Suites;Marketplace Diversos;1;0;1;0;0;60;60;;0;02/07/2021 00:00;;false
8x8;;SmartNX;Software;1;0;1;0;0;80;80;;0;04/04/2022 00:00;samuel.wilson@8x8.com;false
99 Táxis;Logistica;Framework;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
99 Táxis;Logistica;Kunumi;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
A&c Contact Center;Serviços Terceirizados (limpeza. segurança e catering);SmartNX;Software;1;0;0;0;0;80;80;;0;04/04/2022 00:00;raphael.duailibi@aec.com.br;false
A.life Group;Restaurantes & Delivery;Fazenda Churrascada;Restaurantes & Delivery;1;0;0;0;0;50;50;;0;;;true
AAK;Industria e distribuição de Químicos & Ingredientes;Celena;Agricultura/Produção;2;1;0;0;0;200;200;;0;;;false
AAK;Industria e distribuição de Químicos & Ingredientes;Citróleo;Industria e distribuição de Químicos & Ingredientes;2;1;0;0;0;75;75;;0;01/12/2021 00:00;;true
AB Fagerhult;Energia;Clamper;Indústria Pesada. Máquinas e Equipamentos;1;0;0;0;0;300;300;;0;06/05/2021 00:00;bodil@fagerhult.com;false
AB Vista;Nutrição animal;Rancho Alegre;Nutrição animal;1;0;1;0;0;;;;0;;Waldemar.Rieping@abvista.com;true
ABB Group;Supermercados e Atacadistas;Belenus;Materiais Básicos e Produtos para Construção (Indústria e Varejo);3;0;1;0;0;500;500;;0;;piero-giorgio.schiannini@it.abb.com;false
ABB Group;Supermercados e Atacadistas;Clamper;Indústria Pesada. Máquinas e Equipamentos;3;0;2;0;0;750;750;;0;06/05/2021 00:00;piero-giorgio.schiannini@it.abb.com;false
ABB Group;Supermercados e Atacadistas;Ventisol;Indústria Pesada. Máquinas e Equipamentos;3;0;2;0;0;750;750;;0;06/05/2021 00:00;piero-giorgio.schiannini@it.abb.com;false
ABC Supply;Distribuição industrial;PHB Solar;Energia;1;0;0;0;0;;;;0;;todd.buehl@abcsupply.com;false
ABN Amro Bank;Bancos Tradicionais;Bexs;Fintech;1;0;1;0;0;;;;0;31/08/2021 00:00;;false
ABP - Fundo Holanda;;Quadra Capital;Asset Management;1;0;1;0;0;120;120;;0;23/06/2022 00:00;;false
ABS Capital Partners;Asset Management;Algar Tech 2021;IT Services;1;0;0;0;0;800;800;;0;11/02/2022 00:00;;false
ACE & Company;Asset Management;Sankhya;Software;1;0;1;0;0;600;600;;1;04/04/2022 00:00;;false
ACP;Locação de Ativos;Tecnoset 2021;Locação de Ativos;1;0;1;0;0;80;80;;0;;;true
ADDvise;Dental & Medical devices (produção e distribuição);Barrfab;Dental & Medical devices (produção e distribuição);2;0;2;0;0;175;175;;1;03/06/2022 00:00;aaron.wong@addvisegroup.se;true
ADDvise;Dental & Medical devices (produção e distribuição);Blue Health;Dental & Medical devices (produção e distribuição);2;0;2;0;0;175;175;;1;03/06/2022 00:00;aaron.wong@addvisegroup.se;true
ADM;;PCE Embalagens;Embalagens;5;0;1;0;0;300;300;;0;;pedro.lavorenti@adm.com;false
ADM;;Framework;IT Services;5;0;2;0;0;175;175;;0;11/02/2022 00:00;pedro.lavorenti@adm.com;false
ADM;;Luft;Logistica;5;0;0;0;0;800;800;;0;30/10/2020 00:00;pedro.lavorenti@adm.com;false
ADM;;Kunumi;IT Services;5;0;2;0;0;175;175;;0;11/02/2022 00:00;pedro.lavorenti@adm.com;false
ADM;;Rancho Alegre;Nutrição animal;5;0;0;0;0;;;;0;;pedro.lavorenti@adm.com;false
ADP;Serviços Terceirizados (limpeza. segurança e catering);Grupo Services;Serviços Terceirizados (limpeza. segurança e catering);5;0;1;0;0;;;;0;24/06/2022 00:00;breno.madeira@adp.com;true
ADP;Serviços Terceirizados (limpeza. segurança e catering);Kenoby;IT Services;5;0;1;0;0;120;120;;1;11/02/2022 00:00;breno.madeira@adp.com;false
ADP;Serviços Terceirizados (limpeza. segurança e catering);Tangerino;Software;5;0;0;0;0;70;70;;1;04/04/2022 00:00;breno.madeira@adp.com;false
ADP;Serviços Terceirizados (limpeza. segurança e catering);Iaudit;Serviços de Engenharia e TIC;5;0;1;0;0;200;200;;0;27/04/2022 00:00;breno.madeira@adp.com;false
ADP;Serviços Terceirizados (limpeza. segurança e catering);Oriente Me;Clínicas. Hospitais e Centros de Tratamento;5;0;0;0;0;80;80;;0;;breno.madeira@adp.com;false
ADT;Serviços Terceirizados (limpeza. segurança e catering);Solar Prime;Distribuição industrial;1;0;0;0;0;40;40;;0;10/12/2021 00:00;dgeise@adt.com;false
ADV Partners;Asset Management;Ventisol;Indústria Pesada. Máquinas e Equipamentos;1;0;1;0;0;1.200;1.200;;0;06/05/2021 00:00;;false
ADVA Optical;Infraestrutura de Telecom;Fibracem;Infraestrutura de Telecom;1;0;1;0;0;350;350;;0;;cavery@advaoptical.com;true
AFA Protective;Serviços Terceirizados (limpeza. segurança e catering);Solar Prime;Distribuição industrial;1;0;0;0;0;40;40;;0;10/12/2021 00:00;jkleinman@afap.com;false
AGEO Terminais;Logistica;BR Log;Logistica;2;0;1;0;0;500;500;;0;30/10/2020 00:00;alexandre.schmid@ageoterminais.com.br;true
AGEO Terminais;Logistica;Luft;Logistica;2;0;1;0;0;500;500;;0;30/10/2020 00:00;alexandre.schmid@ageoterminais.com.br;true
AJ Rorato;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Artefama 2021;Materiais Básicos e Produtos para Construção (Indústria e Varejo);1;0;0;0;0;;;;0;;tiago@ajrorato.ind.br;true
AJ Vierci;;Halipar;Restaurantes & Delivery;1;0;0;0;0;200;200;;0;;;false
AKKR;Asset Management;Sankhya;Software;5;0;2;1;0;600;600;;2;04/04/2022 00:00;jcrowell@accel-kkr.com;false
AKKR;Asset Management;Pipa Studio 2020;IT Services;5;0;1;0;0;;;;0;11/02/2022 00:00;jcrowell@accel-kkr.com;false
AKKR;Asset Management;Siagri + Datacoper;Software;5;0;2;1;0;600;600;;2;04/04/2022 00:00;jcrowell@accel-kkr.com;false
AKKR;Asset Management;Zeus Agrotech;Agricultura de precisão/implementos;5;0;0;0;0;200;200;;0;;jcrowell@accel-kkr.com;false
AKKR;Asset Management;Trademaster;Fintech;5;0;1;0;0;;;;1;31/08/2021 00:00;jcrowell@accel-kkr.com;false
AKTIO Corporation;Indústria Pesada. Máquinas e Equipamentos;A Geradora;Locação de Ativos;1;0;0;0;0;450;450;;0;;;false
ALCATEL LUCENT;;Grupo Binário;IT Services;1;0;0;0;0;;;;0;11/02/2022 00:00;;false
ALPS Capital ( Ex-Pollux );Asset Management;Liderança;Serviços de Engenharia e TIC;3;0;1;0;0;;;;1;27/04/2022 00:00;aoude@alpscapital.com.br;false
ALPS Capital ( Ex-Pollux );Asset Management;VIP Office;Laje Comercial;3;0;1;0;0;;;;0;;aoude@alpscapital.com.br;false
ALPS Capital ( Ex-Pollux );Asset Management;Forever Liss;Produtos de Uso Pessoal e Cosméticos;3;0;1;0;0;;;;1;15/10/2021 00:00;aoude@alpscapital.com.br;false
ALS Global;Serviços de Engenharia e TIC;Ecotec;Serviços de Engenharia e TIC;1;0;1;0;0;250;250;;1;27/04/2022 00:00;JV.Taucce@alsglobal.com;true
AMAG Austria Metall;Indústria Pesada. Máquinas e Equipamentos;Alumiplast;Distribuição industrial;1;0;1;0;0;500;500;;0;10/12/2021 00:00;;false
AMECO;Indústria Pesada. Máquinas e Equipamentos;Locar 2020;Locação de Ativos;1;0;1;0;0;500;500;;0;;edgardo.torres@ameco.com;false
ANGUS Specialty Chemicals;Industria e distribuição de Químicos & Ingredientes;Purifarma;Industria e distribuição de Químicos & Ingredientes;1;0;0;0;0;;;;0;01/12/2021 00:00;jsills@angus.com;true
AP Networks;Locação de Ativos;Tecnoset 2021;Locação de Ativos;1;0;1;0;0;80;80;;0;;;true
APL Logistics;Logistica;Vendemmia;Logistica;2;0;2;0;0;575;575;;0;30/10/2020 00:00;fabio_duque@apllogistics.com;true
APL Logistics;Logistica;Luft;Logistica;2;0;2;0;0;575;575;;0;30/10/2020 00:00;fabio_duque@apllogistics.com;true
AQR Capital Management;Asset Management;Giant Capital;Asset Management;1;0;0;0;0;250;250;;1;23/06/2022 00:00;cliff.asness@aqr.com;true
ARC Capital;Asset Management;Max Milhas;Varejo Especializado;1;1;1;0;1;400;400;18/07/2022 09:37;0;25/02/2022 00:00;;false
ARTDECO Cosmetic;Produtos de Uso Pessoal e Cosméticos;Bel Cosméticos;Varejo Especializado;1;0;1;1;0;;;;0;25/02/2022 00:00;;false
ARX;Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;1;0;0;0;0;;;;0;;Pierre.jadoul@arxinvestimentos.com.br;false
ASCENDUM;Logistica;Locar 2020;Locação de Ativos;1;0;0;0;0;500;500;;0;;;false
ASCO Group;Logistica;TransPedrosa;Serviços Terceirizados (limpeza. segurança e catering);2;0;0;0;0;300;300;;0;24/06/2022 00:00;marianne.lipp@ascoworld.com;false
ASCO Group;Logistica;Veronese;Logistica;2;0;0;0;0;200;200;;0;30/10/2020 00:00;marianne.lipp@ascoworld.com;true
ASGN;IT Services;Zbra;IT Services;2;0;2;0;0;125;125;;0;11/02/2022 00:00;randy.phillips@asgn.com;true
ASGN;IT Services;Pixit;IT Services;2;0;2;0;0;125;125;;0;11/02/2022 00:00;randy.phillips@asgn.com;true
AST Corporation;IT Services;Pixit;IT Services;2;0;0;0;0;125;125;;0;11/02/2022 00:00;;true
AST Corporation;IT Services;Zbra;IT Services;2;0;0;0;0;125;125;;0;11/02/2022 00:00;;true
AT&T;Turismo. Entretenimento;TM1;Marketing Services;1;0;1;0;0;120;120;;0;26/05/2021 00:00;;false
ATL Technology;Serviços de Engenharia e TIC;Hi-Mix;Serviços de Engenharia e TIC;1;0;0;0;0;400;400;;0;27/04/2022 00:00;;true
ATP adhesive systems GmbH;Embalagens;Koretech;Embalagens;1;0;1;0;0;200;200;;0;;;true
ATS Automation;Indústria Pesada. Máquinas e Equipamentos;Pollux;IT Services;1;0;1;0;0;;;;1;11/02/2022 00:00;joe.tassone@atsautomation.com;false
ATkearney;Consulting;Kunumi;IT Services;3;1;3;0;0;150;150;;0;11/02/2022 00:00;;false
ATkearney;Consulting;Framework;IT Services;3;1;3;0;0;150;150;;0;11/02/2022 00:00;;false
ATkearney;Consulting;K21;IT Services;3;1;3;0;0;150;150;;0;11/02/2022 00:00;;false
AWC;Distribuição industrial;APS;Distribuição industrial;1;0;0;0;0;110;110;;1;10/12/2021 00:00;;true
AWK Group;IT Services;Framework;IT Services;1;0;1;0;0;200;200;;0;11/02/2022 00:00;;true
AXA;Wealth & Capital Markets Tech OLD;BR Med;Clínicas. Hospitais e Centros de Tratamento;4;0;1;0;0;;;;0;;sebastien.guidoni@axa.com;false
AXA;Wealth & Capital Markets Tech OLD;Suhai 2020;Seguradoras & Corretoras de Seguros;4;0;0;0;0;;;;0;;sebastien.guidoni@axa.com;false
AXA;Wealth & Capital Markets Tech OLD;Benner;IT Services;4;0;2;0;0;150;150;;0;11/02/2022 00:00;sebastien.guidoni@axa.com;false
AXA;Wealth & Capital Markets Tech OLD;Kunumi;IT Services;4;0;2;0;0;150;150;;0;11/02/2022 00:00;sebastien.guidoni@axa.com;false
AZ Quest;Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;1;0;1;0;0;;;;0;;caio.colombo@azquest.com.br;false
Aalberts;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Plastilit SA;Industria e distribuição de Químicos & Ingredientes;1;0;1;0;0;;;;0;01/12/2021 00:00;joey.hunsel@aalberts.com;false
Abacus Group;IT Services;Pixit;IT Services;1;0;0;0;0;150;150;;0;11/02/2022 00:00;;true
Abasic;Varejo Especializado;Pacífico Sul;Varejo Especializado;2;0;0;0;0;;;;0;25/02/2022 00:00;;true
Abasic;Varejo Especializado;Piticas;Varejo Especializado;2;0;0;0;0;;;;0;25/02/2022 00:00;;true
Abbott do Brasil;;Almeida Prado;Indústria Farmacêutica;3;0;0;0;0;300;300;;0;;carlos.arantes@abbott.com;false
Abbott do Brasil;;Vitabe;Produtos de Uso Pessoal e Cosméticos;3;0;1;0;0;400;400;;0;15/10/2021 00:00;carlos.arantes@abbott.com;false
Abbott do Brasil;;Barrfab;Dental & Medical devices (produção e distribuição);3;0;1;0;0;200;200;;0;03/06/2022 00:00;carlos.arantes@abbott.com;false
Abbvie;Indústria Farmacêutica;Medsystems;Dental & Medical devices (produção e distribuição);1;0;1;0;0;200;200;;0;03/06/2022 00:00;chinmay.kanuga@abbvie.com;false
Abengoa;;PHB Solar;Energia;1;0;1;0;0;;;;0;;Jorge.ceinos@abengoa.com;false
Abernessia;Macro Real Estate OLD;Piticas;Varejo Especializado;4;1;0;0;0;;;;0;25/02/2022 00:00;rodrigo@abernessia.com.br;false
Abernessia;Macro Real Estate OLD;Plenum 2022;Dental & Medical devices (produção e distribuição);4;0;1;0;0;100;100;;0;03/06/2022 00:00;rodrigo@abernessia.com.br;false
Abernessia;Macro Real Estate OLD;Oriente Me;Clínicas. Hospitais e Centros de Tratamento;4;0;1;1;0;80;80;;0;;rodrigo@abernessia.com.br;false
Abernessia;Macro Real Estate OLD;Zeus Agrotech;Agricultura de precisão/implementos;4;0;0;0;0;200;200;;0;;rodrigo@abernessia.com.br;false
Abm (nyse: Abm);Consulting;Automalógica;Serviços de Engenharia e TIC;2;0;0;0;0;120;120;;0;27/04/2022 00:00;;false
Abm (nyse: Abm);Consulting;Esquadra;Serviços Terceirizados (limpeza. segurança e catering);2;0;0;0;0;;;;0;24/06/2022 00:00;;false
Abry Partners;Asset Management;Algar Tech 2021;IT Services;1;0;0;0;0;800;800;;0;11/02/2022 00:00;;false
Absolute Games LLC.;Information/Internet Services & IOT/M2M. Subscription & Apps OLD;Pipa Studio 2020;IT Services;1;0;0;0;0;;;;0;11/02/2022 00:00;;false
Abstracta;IT Services;Sofist;IT Services;1;0;1;0;0;35;35;;0;11/02/2022 00:00;federico@abstracta.us;true
Abu Dhabi Investment Council;Asset Management;Spectra;Asset Management;1;0;0;0;0;200;200;;0;23/06/2022 00:00;;true
Acadian Seaplants Limited;Fertilizantes & Defensivos;Microxisto;Fertilizantes & Defensivos;1;0;0;0;0;350;350;;0;03/02/2022 00:00;;true
Accel Partners;Asset Management;ThinkSeg;Seguradoras & Corretoras de Seguros;5;0;1;1;0;100;100;;0;;dwaltcher@accel.com;false
Accel Partners;Asset Management;Social Bank;Fintech;5;0;3;1;0;;;;2;31/08/2021 00:00;dwaltcher@accel.com;false
Accel Partners;Asset Management;Vortx;Fintech;5;0;3;1;0;;;;2;31/08/2021 00:00;dwaltcher@accel.com;false
Accel Partners;Asset Management;Vortx;Fintech;5;0;3;1;0;;;;2;31/08/2021 00:00;dwaltcher@accel.com;false
Accel Partners;Asset Management;Max Milhas;Varejo Especializado;5;0;1;0;0;400;400;;0;25/02/2022 00:00;dwaltcher@accel.com;false
Accelink Technologies Co;;Fibracem;Infraestrutura de Telecom;1;0;0;0;0;350;350;;0;;;false
Accell;Serviços de Engenharia e TIC;Automalógica;Serviços de Engenharia e TIC;1;0;0;0;0;120;120;;0;27/04/2022 00:00;;true
Accelmed;Dental & Medical devices (produção e distribuição);Plenum;Dental & Medical devices (produção e distribuição);1;0;1;0;0;100;100;;0;03/06/2022 00:00;evan@accelmed.com;true
Accenture;Consulting;FULLFace;Software;28;0;2;1;0;65;65;;0;04/04/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;NeoAssist;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Squadra IT;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Iteris;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Kunumi;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;TM1;Marketing Services;28;1;2;0;0;120;120;;1;26/05/2021 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Framework;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Raccoon;Marketing Services;28;1;2;0;0;120;120;;1;26/05/2021 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;BMI Nexialistas;Consulting;28;0;1;0;0;100;100;;1;31/03/2022 00:00;eduardo.b.iatauro@accenture.com;true
Accenture;Consulting;Sofist;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Trademaster;Fintech;28;1;0;0;0;;;;1;31/08/2021 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Escola Conquer;Ensino Superior;28;0;1;0;0;50;50;;1;01/07/2021 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Monitora;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Iaudit;Serviços de Engenharia e TIC;28;0;1;0;0;200;200;;0;27/04/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Arklok;Locação de Ativos;28;0;1;0;0;120;120;;0;;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;K21;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;LinkApi;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Kenoby;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;SmartNX;Software;28;0;2;1;0;65;65;;0;04/04/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;AfferoLab;Consulting;28;0;1;0;0;100;100;;1;31/03/2022 00:00;eduardo.b.iatauro@accenture.com;true
Accenture;Consulting;Accesstage;Software;28;0;2;1;0;65;65;;0;04/04/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Hartb;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Beta Learning;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Pixit;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Benner;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Inmetrics 2021;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Ioasys;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Accenture;Consulting;Algar Tech 2021;IT Services;28;4;10;2;0;193.93;150;;5;11/02/2022 00:00;eduardo.b.iatauro@accenture.com;false
Acciona Infraestructuras;Multi-family;Kapa Pavimentação;Serviços de Engenharia e TIC;3;0;1;0;0;135;135;;0;27/04/2022 00:00;fabioluis.santos@acciona.com;false
Acciona Infraestructuras;Multi-family;Automalógica;Serviços de Engenharia e TIC;3;0;1;0;0;135;135;;0;27/04/2022 00:00;fabioluis.santos@acciona.com;false
Acciona Infraestructuras;Multi-family;Esquadra;Serviços Terceirizados (limpeza. segurança e catering);3;0;0;0;0;;;;0;24/06/2022 00:00;fabioluis.santos@acciona.com;false
Accor Hotels Group;Hotelaria;Buson (Guichê Virtual);Marketplace Diversos;2;0;1;0;0;100;100;;0;02/07/2021 00:00;mauro.rial@accor.com;false
Accor Hotels Group;Hotelaria;VIP Office;Laje Comercial;2;0;0;0;0;;;;0;;mauro.rial@accor.com;false
Accurate Background;Serviços de Engenharia e TIC;Iaudit;Serviços de Engenharia e TIC;2;0;1;0;0;200;200;;0;27/04/2022 00:00;dshoemaker@accurate.com;true
Accurate Background;Serviços de Engenharia e TIC;FULLFace;Software;2;0;1;0;0;50;50;;0;04/04/2022 00:00;dshoemaker@accurate.com;false
Ace Hardware;Marketplace Diversos;Imdepa;Distribuição industrial;1;0;0;0;0;150;150;;0;10/12/2021 00:00;;false
Acesso Digital;SaaS - Generalistas;Iaudit;Serviços de Engenharia e TIC;1;1;1;0;0;200;200;;0;27/04/2022 00:00;diego.martins@acesso.io;false
Aceto;Industria e distribuição de Químicos & Ingredientes;BSC Químicos;Industria e distribuição de Químicos & Ingredientes;4;0;3;1;0;200;200;;0;01/12/2021 00:00;tcurl@aceto.com;true
Aceto;Industria e distribuição de Químicos & Ingredientes;Purifarma;Industria e distribuição de Químicos & Ingredientes;4;0;3;1;0;200;200;;0;01/12/2021 00:00;tcurl@aceto.com;true
Aceto;Industria e distribuição de Químicos & Ingredientes;Aplinova;Industria e distribuição de Químicos & Ingredientes;4;0;3;1;0;200;200;;0;01/12/2021 00:00;tcurl@aceto.com;true
Aceto;Industria e distribuição de Químicos & Ingredientes;Adexim-Comexim;Industria e distribuição de Químicos & Ingredientes;4;0;3;1;0;200;200;;0;01/12/2021 00:00;tcurl@aceto.com;true
Aché Laboratórios;;Bionatus 2022;Indústria Farmacêutica;8;1;1;0;0;175;175;;0;;elizangela.kioko@ache.com.br;false
Aché Laboratórios;;Kunumi;IT Services;8;0;2;0;0;175;175;;0;11/02/2022 00:00;elizangela.kioko@ache.com.br;false
